"","name","mz","rt","Annotation.type","ID","compound.name","isotope","adduct","score","confidence"
"196","M244T564",244.10834,563.9785,"metAnnotation","C16365","5-Acetylamino-6-formylamino-3-methyluracil","[M]","M+NH4",0.715748743616138,"grade2"
"197","M244T447",244.09041,447.491,"seed","C00475","Cytidine","[M]","M+H",0.94408106762152,"grade1"
"198","M243T297",243.05813,296.93,"adductAnnotation","C11426","cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate","[M]","M+H",0.444804750000183,"grade2"
"199","M241T778",241.12663,777.785,"seed","C01262","beta-Alanyl-N(pi)-methyl-L-histidine","[M]","M+H",0.873382563913094,"grade1"
"200","M241T609",241.08995,609.3045,"seed","C15587","Purine","[M]","2M+H",0.777958697123663,"grade1"
"201","M241T551",241.07664,551.206,"metAnnotation","C19686","3-(1-Carboxyvinyloxy)anthranilate","[M]","M+NH4",0.829400713405095,"grade2"
"202","M240T513",240.10613,512.945,"seed","C02953","7,8-Dihydrobiopterin","[M]","M+H",0.881704600569311,"grade1"
"203","M240T400",240.0989,399.5615,"metAnnotation","C02655","6-Acetyl-D-glucose","[M]","M+NH4",0.531030347476806,"grade2"
"204","M240T587",240.09258,586.767,"metAnnotation","C17214","2-(3'-Methylthio)propylmalic acid","[M]","M+NH4",0.85296582439061,"grade2"
"205","M239T435",239.06097,435.328,"metAnnotation","C19687","7-Chloro-L-tryptophan","[M]","M+H",0.66542130350025,"grade2"
"206","M238T476",238.09055,475.9675,"seed","C06313","Biopterin","[M]","M+H",0.848395278785189,"grade1"
"207","M235T507",235.1627,506.896,"seed","C00719","Betaine","[M]","2M+H",0.850225788577022,"grade1"
"208","M233T478_1",233.11015,477.692,"metAnnotation","C04390","N6-Acetyl-LL-2,6-diaminoheptanedioate","[M]","M+H",0.626695332980342,"grade2"
"209","M233T745",233.11019,744.844,"metAnnotation","C15767","4-(L-gamma-Glutamylamino)butanoate","[M]","M+H",0.869949071301964,"grade2"
"210","M233T741",233.08124,740.645,"metAnnotation","C01233","sn-Glycero-3-phosphoethanolamine","[M]","M+NH4",0.624216661973258,"grade2"
"211","M231T590",231.13091,589.923,"adductAnnotation","C03169","Pyrimidine nucleoside","[M]","M+NH4",0.433889383333072,"grade2"
"212","M231T516",231.13113,516.145,"metAnnotation","C03169","Pyrimidine nucleoside","[M]","M+NH4",0.530416588367148,"grade2"
