name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M236T395,236.03075,394.564,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C16356;C16360;C00944,M235T394;M235T394;M235T394,C16356;C16360;C00944,"1,7-Dimethyluric acid;3,7-Dimethyluric acid;3-Dehydroquinate",[M+1];[M+1];[M+1],M+K;M+K;M+2Na-H,C7H8N4O3;C7H8N4O3;C7H10O6,0.731096264475014;0.731096264475014;0.593654255283175,C16360_1;C16356_1;C00944_1,grade2;grade2;grade2
M236T577,236.04002,577.354,adductAnnotation;metAnnotation;adductAnnotation,C02997;C04045;C03004,M220T577;M260T482;M220T577,C02997;C00355;C03004,"N-Acetyl-L-histidine;3,4-Dihydroxy-L-phenylalanine;N-Hydroxy-L-tyrosine",[M];[M];[M],M+K;M+K;M+K,C8H11N3O3;C9H11NO4;C9H11NO4,0.813565949999372;0.726206293729061;0.624765350000644,C02997_7;C00355_6;C03004_4,grade2;grade2;grade2
M236T76,236.04572,75.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T684,236.05872,683.524,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C04546;C17242;C17238;C01726,M235T684;M235T684;M235T684;M235T684,C04546;C17242;C17238;C01726,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate;S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine;S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine;D-Lombricine,[M+1];[M+1];[M+1];[M+1],M+2Na-H;M+H-H2O;M+H-2H2O;M+H-2H2O,C8H14O5;C8H16N2O3S2;C11H14N2O4S;C6H15N4O6P,0.859130067813687;0.83088912906164;0.804364416882022;0.735996238620552,C04546_7;C01726_1;C17238_3;C17242_3,grade2;grade2;grade2;grade2
M236T412,236.05556,412.211,adductAnnotation,C05565,M173T414,C05565,Hydantoin-5-propionate,[M],M+CH3CN+Na,C6H8N2O4,0.22490278333378,C05565_1,grade3
M236T738,236.06693,737.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T701,236.07681,700.598,metAnnotation,C04874,M316T476,C05926,Neopterin,[M],M+H-H2O,C9H11N5O4,0.740428183726137,C05926_3,grade2
M236T756,236.09216,756.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T1002,236.09299,1001.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T74,236.09241,73.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M236T612,236.10105,612.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
